id,subtime,score,walltime,scoreQueue,qtdRecursos
Fila Jobs n:,73,Size:,3,Current time:,3859195.0
w0!1663298,3817962.0,13.0,3600,213553.0,20
w0!1663301,3818432.0,0.0,16200,54096.0,5
w0!1663316,3826333.0,0.0,359400,33463.0,1
 
Fila Jobs n:,74,Size:,2,Current time:,4158605.0
w0!1669557,4158605.0,0.0,180,1200000.0,6
w0!1669558,4158605.0,0.0,180,1200000.0,13
 
Fila Jobs n:,75,Size:,2,Current time:,4267945.0
w0!1669864,4267936.0,63.0,604800,544686.0,10
w0!1669865,4267945.0,63.0,604800,544677.0,19
 
Fila Jobs n:,76,Size:,3,Current time:,4267952.0
w0!1669864,4267936.0,63.0,604800,544693.0,10
w0!1669865,4267945.0,63.0,604800,544684.0,19
w0!1669866,4267952.0,63.0,604800,544677.0,7
 
Fila Jobs n:,77,Size:,4,Current time:,4267963.0
w0!1669864,4267936.0,63.0,604800,544704.0,10
w0!1669865,4267945.0,63.0,604800,544695.0,19
w0!1669866,4267952.0,63.0,604800,544688.0,7
w0!1669867,4267963.0,63.0,604800,544677.0,9
 
Fila Jobs n:,78,Size:,5,Current time:,4268956.0
w0!1669871,4268956.0,45.0,300,1108800.0,1
w0!1669864,4267936.0,63.0,604800,545697.0,10
w0!1669865,4267945.0,63.0,604800,545688.0,19
w0!1669866,4267952.0,63.0,604800,545681.0,7
w0!1669867,4267963.0,63.0,604800,545670.0,9
 
Fila Jobs n:,79,Size:,4,Current time:,4269079.5
w0!1669864,4267936.0,63.0,604800,545821.0,10
w0!1669865,4267945.0,63.0,604800,545812.0,19
w0!1669866,4267952.0,63.0,604800,545805.0,7
w0!1669867,4267963.0,63.0,604800,545794.0,9
 
Fila Jobs n:,80,Size:,4,Current time:,4269301.9
w0!1669864,4267936.0,63.0,604800,546043.0,10
w0!1669865,4267945.0,63.0,604800,546034.0,19
w0!1669866,4267952.0,63.0,604800,546027.0,7
w0!1669867,4267963.0,63.0,604800,546016.0,9
 
Fila Jobs n:,81,Size:,3,Current time:,4269955.5
w0!1669865,4267945.0,63.0,604800,546688.0,19
w0!1669866,4267952.0,63.0,604800,546681.0,7
w0!1669867,4267963.0,63.0,604800,546670.0,9
 
Fila Jobs n:,82,Size:,2,Current time:,4270452.0
w0!1669874,4270452.0,63.0,153,1956085.0,2
w0!1669867,4267963.0,63.0,604800,547166.0,9
 
Fila Jobs n:,83,Size:,2,Current time:,4270464.0
w0!1669867,4267963.0,63.0,604800,547178.0,9
w0!1669875,4270464.0,59.0,7200,539760.0,2
 
Fila Jobs n:,84,Size:,3,Current time:,4270469.0
w0!1669876,4270469.0,43.0,1200,551520.0,6
w0!1669867,4267963.0,63.0,604800,547183.0,9
w0!1669875,4270464.0,59.0,7200,539765.0,2
 
Fila Jobs n:,85,Size:,4,Current time:,4270473.0
w0!1669877,4270473.0,43.0,76,3213625.0,5
w0!1669876,4270469.0,43.0,1200,551524.0,6
w0!1669867,4267963.0,63.0,604800,547187.0,9
w0!1669875,4270464.0,59.0,7200,539769.0,2
 
Fila Jobs n:,86,Size:,5,Current time:,4270507.0
w0!1669877,4270473.0,43.0,76,3213659.0,5
w0!1669878,4270507.0,43.0,163,1696673.0,26
w0!1669876,4270469.0,43.0,1200,551558.0,6
w0!1669867,4267963.0,63.0,604800,547221.0,9
w0!1669875,4270464.0,59.0,7200,539803.0,2
 
Fila Jobs n:,87,Size:,5,Current time:,4270605.0
w0!1669877,4270473.0,43.0,76,3213757.0,5
w0!1669878,4270507.0,43.0,163,1696771.0,26
w0!1669876,4270469.0,43.0,1200,551656.0,6
w0!1669867,4267963.0,63.0,604800,547319.0,9
w0!1669875,4270464.0,59.0,7200,539901.0,2
 
Fila Jobs n:,88,Size:,5,Current time:,4270615.0
w0!1669877,4270473.0,43.0,76,3213767.0,5
w0!1669878,4270507.0,43.0,163,1696781.0,26
w0!1669876,4270469.0,43.0,1200,551666.0,6
w0!1669867,4267963.0,63.0,604800,547329.0,9
w0!1669875,4270464.0,59.0,7200,539911.0,2
 
Fila Jobs n:,89,Size:,5,Current time:,4271033.1
w0!1669877,4270473.0,43.0,76,3214185.0,5
w0!1669878,4270507.0,43.0,163,1697199.0,26
w0!1669876,4270469.0,43.0,1200,552084.0,6
w0!1669867,4267963.0,63.0,604800,547747.0,9
w0!1669875,4270464.0,59.0,7200,540329.0,2
 
Fila Jobs n:,90,Size:,4,Current time:,4271109.1
w0!1669878,4270507.0,43.0,163,1697275.0,26
w0!1669876,4270469.0,43.0,1200,552160.0,6
w0!1669867,4267963.0,63.0,604800,547823.0,9
w0!1669875,4270464.0,59.0,7200,540405.0,2
 
Fila Jobs n:,91,Size:,4,Current time:,4271887.8
w0!1669878,4270507.0,43.0,163,1698054.0,26
w0!1669876,4270469.0,43.0,1200,552939.0,6
w0!1669867,4267963.0,63.0,604800,548602.0,9
w0!1669875,4270464.0,59.0,7200,541184.0,2
 
Fila Jobs n:,92,Size:,4,Current time:,4271908.2
w0!1669878,4270507.0,43.0,163,1698075.0,26
w0!1669876,4270469.0,43.0,1200,552959.0,6
w0!1669867,4267963.0,63.0,604800,548622.0,9
w0!1669875,4270464.0,59.0,7200,541204.0,2
 
Fila Jobs n:,93,Size:,2,Current time:,4272071.2
w0!1669867,4267963.0,63.0,604800,548785.0,9
w0!1669875,4270464.0,59.0,7200,541367.0,2
 
Fila Jobs n:,94,Size:,2,Current time:,4281524.0
w0!1669933,4281524.0,43.0,180,1571520.0,39
w0!1669932,4281436.0,0.0,7200,30088.0,20
 
Fila Jobs n:,95,Size:,3,Current time:,4281532.0
w0!1669934,4281532.0,43.0,120,2171520.0,39
w0!1669933,4281524.0,43.0,180,1571528.0,39
w0!1669932,4281436.0,0.0,7200,30096.0,20
 
Fila Jobs n:,96,Size:,4,Current time:,4281535.0
w0!1669934,4281532.0,43.0,120,2171523.0,39
w0!1669935,4281535.0,43.0,120,2171520.0,17
w0!1669933,4281524.0,43.0,180,1571531.0,39
w0!1669932,4281436.0,0.0,7200,30099.0,20
 
Fila Jobs n:,97,Size:,5,Current time:,4281538.0
w0!1669934,4281532.0,43.0,120,2171526.0,39
w0!1669935,4281535.0,43.0,120,2171523.0,17
w0!1669933,4281524.0,43.0,180,1571534.0,39
w0!1669936,4281538.0,43.0,180,1571520.0,39
w0!1669932,4281436.0,0.0,7200,30102.0,20
 
Fila Jobs n:,98,Size:,6,Current time:,4281541.0
w0!1669934,4281532.0,43.0,120,2171529.0,39
w0!1669935,4281535.0,43.0,120,2171526.0,17
w0!1669937,4281541.0,43.0,120,2171520.0,39
w0!1669933,4281524.0,43.0,180,1571537.0,39
w0!1669936,4281538.0,43.0,180,1571523.0,39
w0!1669932,4281436.0,0.0,7200,30105.0,20
 
Fila Jobs n:,99,Size:,6,Current time:,4287467.0
w0!1669934,4281532.0,43.0,120,2177455.0,39
w0!1669935,4281535.0,43.0,120,2177452.0,17
w0!1669937,4281541.0,43.0,120,2177446.0,39
w0!1669933,4281524.0,43.0,180,1577463.0,39
w0!1669936,4281538.0,43.0,180,1577449.0,39
w0!1669932,4281436.0,0.0,7200,36031.0,20
 
Fila Jobs n:,100,Size:,6,Current time:,4287537.0
w0!1669935,4281535.0,43.0,120,2177522.0,17
w0!1669937,4281541.0,43.0,120,2177516.0,39
w0!1669943,4287537.0,43.0,120,2171520.0,30
w0!1669933,4281524.0,43.0,180,1577533.0,39
w0!1669936,4281538.0,43.0,180,1577519.0,39
w0!1669932,4281436.0,0.0,7200,36101.0,20
 
Fila Jobs n:,101,Size:,6,Current time:,4287587.0
w0!1669935,4281535.0,43.0,120,2177572.0,17
w0!1669937,4281541.0,43.0,120,2177566.0,39
w0!1669943,4287537.0,43.0,120,2171570.0,30
w0!1669933,4281524.0,43.0,180,1577583.0,39
w0!1669936,4281538.0,43.0,180,1577569.0,39
w0!1669932,4281436.0,0.0,7200,36151.0,20
 
Fila Jobs n:,102,Size:,5,Current time:,4287707.0
w0!1669937,4281541.0,43.0,120,2177686.0,39
w0!1669943,4287537.0,43.0,120,2171690.0,30
w0!1669933,4281524.0,43.0,180,1577703.0,39
w0!1669936,4281538.0,43.0,180,1577689.0,39
w0!1669932,4281436.0,0.0,7200,36271.0,20
 
Fila Jobs n:,103,Size:,4,Current time:,4287827.0
